temperature,humidity,soil_moisture,rainfall,soil_type_enc,crop_type_enc,irrigate,litres_eau
28.0,54.0,47.0,23.754560475432392,4,0,0,14.4
35.94,62.93,28.98,4.2038406956718735,3,0,1,40.0
32.98,67.67,45.92,21.276621640920396,2,0,0,18.6
29.99,45.6,70.0,1.1676389533910037,1,0,0,15.6
38.17,66.45,68.55,8.835357876896444,2,1,1,15.9
30.33,55.01,27.78,38.72716416593858,2,9,0,15.8
21.55,59.81,42.69,17.474094530598478,1,10,0,20.1
24.21,66.11,50.17,9.316374807311817,0,2,0,21.7
34.2,73.24,20.0,27.345149852106722,1,3,1,27.6
27.0,52.82,49.08,15.561122046513814,2,6,1,17.6
29.0,67.64,61.06,24.585193026051954,0,8,0,7.4
28.43,58.72,43.9,39.08836558008553,4,8,0,8.7
37.66,74.6,28.6,47.993749011491396,0,4,1,8.9
40.0,65.06,37.28,12.689748502003928,3,8,1,28.4
29.8,52.93,39.95,47.212118579126866,0,8,1,7.7
33.97,73.31,26.07,23.684418295894545,4,10,1,30.0
26.86,60.39,30.72,13.782447997021974,1,3,1,29.0
22.88,46.03,22.86,4.401451357199115,0,5,1,38.2
26.11,59.94,70.0,45.559385011707036,2,5,0,5.0
35.19,65.14,22.12,26.81007631644868,0,2,1,32.5
28.11,45.22,66.38,38.93117876193479,3,3,0,5.0
23.64,54.21,33.68,35.135142834534165,1,0,0,13.1
27.05,50.17,43.61,37.49392679970095,2,4,0,8.7
24.07,54.47,28.69,42.922462598889,2,7,0,13.3
35.49,70.58,34.23,10.963474630943715,1,3,1,31.4
29.68,55.95,57.79,1.4191195296384407,3,1,1,17.5
31.56,58.38,47.62,32.472080946338814,3,3,0,8.0
23.69,44.73,48.52,3.3005316455731903,3,7,1,28.6
38.09,65.45,47.28,41.296493080924634,2,0,0,5.0
38.27,60.33,37.69,17.557089920174597,4,1,1,26.9
32.08,71.52,31.79,19.171228212076937,0,3,1,25.4
39.5,68.84,59.07,12.235436215994538,4,5,1,20.5
31.38,57.13,37.26,29.792232426206137,0,2,1,15.3
28.39,51.88,59.74,19.93887040654563,2,5,0,8.0
26.86,50.54,67.65,48.89100532441394,2,7,0,5.0
26.0,52.0,39.0,49.25113314420143,1,7,1,5.0
27.6,56.81,32.67,12.5074228892193,4,7,1,28.0
33.21,64.79,31.54,42.0784985204226,1,8,1,13.1
30.63,63.88,38.71,42.9411974766974,2,6,1,5.0
25.29,59.98,64.0,42.76307300378471,3,6,0,5.0
26.81,58.78,49.15,43.09611063573514,1,5,0,5.0
30.2,64.88,52.82,46.86662693698586,1,5,0,5.0
25.38,51.53,63.5,7.095191069667262,4,2,0,11.8
30.21,53.36,54.28,47.38662318921275,1,5,0,5.0
21.4,45.95,67.15,21.515378043978263,2,1,0,5.0
26.69,61.8,55.35,23.720701076087458,4,6,1,11.5
21.82,52.68,30.79,38.127611199841475,3,5,0,14.9
34.71,54.08,46.09,22.75658996177138,2,4,0,19.3
26.03,60.45,46.4,41.39517043520964,0,0,0,5.0
36.19,77.04,57.3,18.323660121073164,0,2,1,18.0
26.57,57.0,70.0,10.001473301251673,0,5,0,7.5
23.15,45.26,35.54,2.2648817984643577,3,7,1,33.4
31.04,66.34,43.48,14.93924782910293,3,7,1,22.8
35.76,52.2,41.09,20.623435752275427,4,3,1,21.1
28.71,56.73,35.54,12.395850271265896,1,9,1,25.1
30.4,55.73,55.43,31.185975078150165,4,8,0,5.9
24.37,53.17,55.48,1.123499464324823,3,10,0,24.0
33.56,69.13,30.78,4.805948204261274,1,5,1,34.9
27.52,52.42,36.15,18.792340962713705,3,3,1,30.0
37.57,63.17,70.0,39.81585328806663,2,3,0,5.0
22.39,59.45,42.31,20.927315630345056,3,7,0,18.0
32.38,55.82,40.91,31.354635666531205,4,5,0,13.8
38.87,66.29,56.82,48.06232237674028,0,4,0,5.0
35.12,62.3,40.87,15.634116893709638,0,9,0,25.1
30.94,49.05,21.4,32.538486295945596,0,6,1,25.8
33.73,55.28,55.87,22.3611297965956,4,10,1,16.2
37.8,71.38,52.18,1.4064501605061952,3,5,1,30.1
21.48,45.7,31.28,44.40603577195653,0,9,0,6.8
25.4,51.85,40.41,4.9349966814811905,1,0,0,27.5
33.48,65.81,38.6,11.367414219687088,0,3,1,30.8
37.17,73.45,62.33,48.874483299438296,0,4,0,5.0
34.52,54.84,20.39,8.621174455614971,3,4,1,42.3
38.05,68.85,57.68,16.19858485533629,0,10,1,15.1
26.4,59.16,66.66,23.142488660332894,1,10,0,5.0
25.41,49.09,44.03,29.599162857164472,4,0,1,10.0
24.97,47.28,41.8,17.878471050416746,0,7,0,22.1
33.37,66.5,35.42,28.505451302270945,0,7,1,14.4
30.35,73.19,41.73,48.29459443412255,4,2,0,6.0
36.91,57.36,46.79,37.27901746379479,0,0,0,8.6
31.08,59.06,47.05,11.338291573903398,4,9,1,21.5
25.87,58.43,64.21,23.797570140549844,2,0,0,9.5
21.33,49.11,41.38,40.325630436861374,1,9,0,5.0
38.64,57.63,62.51,17.103774897244516,4,4,1,13.2
28.78,45.77,50.49,40.395476061713026,2,2,0,6.8
27.7,62.14,37.45,30.176662961177254,4,10,1,16.5
27.05,69.98,52.83,40.589591152639834,2,1,0,5.0
24.68,58.73,43.06,28.59517051334091,4,4,0,12.3
24.0,59.32,44.9,27.09443300596126,3,10,0,12.6
30.41,66.28,57.05,37.49945895410855,0,4,0,5.0
33.25,55.48,47.7,49.91140628772129,4,4,0,5.0
27.4,42.62,64.2,38.712264853628305,3,2,0,5.0
30.0,60.0,40.0,32.90326023810909,4,4,0,14.3
31.78,59.11,44.18,31.864308892706468,0,7,0,12.2
29.74,63.49,44.31,31.32770676087569,4,10,0,11.2
35.88,65.43,51.08,48.32523826840198,1,5,0,5.3
33.83,56.14,43.31,32.52812789348373,3,6,0,10.9
26.7,56.64,48.14,4.932954701992198,0,0,0,23.1
20.28,44.28,64.04,33.96350865335636,0,3,0,5.0
25.75,44.84,61.62,41.424595673883566,0,3,0,5.0
21.82,45.06,32.09,9.243140342550316,3,1,1,28.3
23.56,43.25,20.0,16.68748193411017,0,1,1,31.1
30.73,58.57,39.43,28.884226659318664,3,6,1,16.0
27.82,57.43,30.84,22.555868233757685,2,1,1,22.3
23.88,54.05,34.53,18.135689380784676,4,8,1,22.6
25.84,57.48,40.97,0.2050737570737704,3,7,1,32.5
32.35,60.72,43.59,36.533139745353765,3,4,0,12.7
20.53,53.88,68.8,10.12052970594366,3,9,0,8.9
30.76,67.49,42.88,0.8522330250468502,4,2,1,29.4
26.85,50.76,39.26,7.3327016658466695,2,4,1,31.9
29.67,60.0,70.0,49.363137001567544,3,9,0,5.0
21.52,61.31,30.52,30.69591161626964,2,2,0,16.9
28.82,61.83,41.27,12.603176054406779,3,9,1,25.3
33.32,78.29,41.09,1.7456304204787054,4,8,1,32.6
31.93,53.26,30.3,46.21229349691338,1,10,1,14.7
26.54,45.74,70.0,15.249447466945176,3,9,0,6.0
39.29,62.84,52.03,35.463104316811425,3,4,0,8.8
25.51,63.32,68.32,18.210373694339122,1,3,0,8.6
29.07,58.16,32.93,12.886688875782887,1,8,1,31.4
27.88,56.24,25.31,33.48110023384303,0,9,1,23.1
24.01,50.76,23.95,13.533319317781483,1,8,1,30.9
32.61,50.77,63.48,34.444832819650614,3,2,0,5.0
28.74,45.6,40.97,17.04094952131771,0,3,1,21.3
35.77,67.17,42.53,8.774998958727242,0,3,0,29.2
27.64,45.49,55.3,28.474364940349954,4,2,1,5.6
25.21,46.78,31.12,49.86962715670327,1,5,1,6.5
22.69,51.37,61.27,26.547795401640673,4,5,0,5.0
26.17,50.41,34.14,32.891175766115595,1,9,1,13.8
35.46,68.5,33.83,38.66517009791737,3,6,1,16.8
29.8,59.73,35.64,34.120144612921074,3,0,0,17.7
26.79,43.38,41.56,46.96676483679549,1,5,0,6.1
30.45,47.88,24.31,2.012891636552905,3,4,1,43.0
34.46,67.55,53.28,20.11618471320316,0,3,0,13.7
36.02,69.03,54.45,2.9072337578867846,4,0,1,26.2
26.5,61.3,48.77,3.530560310135039,2,8,1,26.8
32.52,57.58,57.94,6.342817600613909,1,3,1,23.2
25.94,50.12,26.04,39.43311195628836,2,8,1,16.3
35.36,64.36,36.49,30.964542526931588,2,10,1,18.8
37.12,73.59,58.49,29.58536290224638,3,0,1,7.1
32.06,61.93,57.19,21.52117179856666,1,4,0,12.4
21.84,58.1,32.37,40.457312729650546,2,10,0,8.9
25.84,58.46,68.74,33.35799376273677,2,9,0,5.0
23.99,48.68,20.0,39.04973527565044,1,5,0,22.0
30.74,66.87,53.32,37.586256780081115,4,10,1,5.0
32.69,69.21,22.19,13.191879405742208,0,8,1,35.8
29.36,64.39,20.0,24.96617640779465,3,9,1,30.2
24.48,64.2,53.94,30.74357804169422,3,7,0,8.2
29.99,62.52,49.88,42.186448309163595,0,7,0,5.0
30.07,53.75,28.21,33.324603067873326,4,7,1,19.3
22.08,55.41,30.32,49.79087287721807,3,9,0,7.0
32.94,51.34,51.7,28.371594042627642,1,3,0,15.4
35.29,66.87,60.63,14.635822939164417,4,10,0,17.3
27.46,63.46,32.44,11.996677081242362,4,5,1,27.5
35.51,53.67,32.47,40.70465723937418,1,7,1,16.4
27.83,53.18,51.26,0.2337366856772216,1,3,1,29.0
26.62,54.93,36.24,22.531057310787244,2,8,1,24.0
27.44,55.75,27.49,40.253098101046156,3,7,1,13.0
28.35,58.1,36.8,0.9032228572653789,2,2,1,36.5
28.67,61.38,48.54,5.81391235872239,0,3,0,28.3
27.24,70.93,28.75,23.601976635918387,1,3,1,25.6
38.91,64.93,39.42,31.643825381210128,4,7,1,20.7
28.09,61.48,39.32,45.21300232835475,0,9,0,5.0
34.51,77.0,52.89,46.999360287631916,0,6,1,5.0
30.34,70.27,32.51,16.18543353002515,2,2,1,25.6
35.39,55.43,61.72,21.688839486776253,3,5,0,11.5
31.62,53.17,41.08,19.325569598902675,1,3,0,22.8
34.28,70.67,55.22,31.03614065480548,4,9,0,9.4
38.97,61.93,48.53,23.11073533280277,0,9,0,19.3
39.48,79.62,45.0,11.893132261582018,3,3,1,26.8
31.54,65.06,37.86,30.052016724710484,2,10,1,16.3
28.65,59.24,40.45,35.48531669810025,1,0,0,10.1
29.73,58.45,60.67,25.712793191630645,2,1,0,6.1
30.73,64.04,58.01,14.058625483913445,0,1,1,15.0
27.11,57.8,49.87,16.01595756391706,1,7,0,18.4
28.72,60.25,48.31,27.262596300491147,0,10,0,11.4
34.33,62.47,37.74,40.97655095015774,3,9,1,10.1
30.58,56.52,48.44,21.73786269188835,4,9,1,19.6
31.58,72.23,37.14,29.705587911094362,2,2,1,18.7
31.1,59.38,64.58,26.80527440952244,0,4,0,5.0
32.36,54.03,43.93,24.386494287030285,3,3,0,20.2
27.98,42.2,60.29,15.568106894706995,1,7,0,16.9
34.81,60.62,53.89,39.53439561999843,1,0,0,5.4
28.91,60.07,39.93,13.289457985845354,0,0,1,26.8
30.84,47.62,28.08,33.889818217082976,3,4,1,20.9
32.82,51.28,43.6,16.26746169842072,2,5,0,23.3
27.17,66.27,40.8,3.116288757603003,4,3,1,30.4
28.7,59.26,46.42,12.101566257827978,0,7,1,24.7
26.32,57.24,34.69,11.929443030689779,3,2,1,27.7
32.59,67.68,50.11,0.9287982479173951,4,5,1,28.0
29.68,74.89,47.11,45.15918189025711,4,0,0,5.0
26.43,46.63,42.08,14.913353274124697,4,3,1,22.3
32.54,58.92,43.95,47.848777334461914,0,8,0,5.0
30.78,59.71,47.46,38.15618515920409,0,10,0,7.5
30.78,58.79,47.7,22.26420270062625,1,8,1,15.5
28.71,64.1,44.78,15.91142195434525,2,3,0,20.5
29.26,45.19,22.33,41.85903680627008,3,5,1,14.6
32.28,51.98,66.27,38.683464519760136,3,0,0,5.0
35.37,75.72,32.49,42.40757587837641,3,5,1,11.9
22.17,47.78,43.03,27.418670602109597,1,6,0,12.0
28.72,45.24,39.24,38.217854697936254,0,10,1,9.8
23.57,58.87,21.5,11.43110094427649,1,9,1,35.5
31.72,71.9,41.1,12.400127193145627,1,5,1,26.4
27.23,57.59,62.86,28.018116419334383,2,6,0,5.3
23.13,55.8,33.99,8.664008978224997,2,8,1,28.7
27.23,45.13,46.5,24.989938066699953,3,4,1,12.5
30.31,61.48,37.51,26.646771726975548,0,3,1,17.5
35.37,57.59,60.56,4.525823515023436,2,1,1,22.9
27.16,55.4,35.51,16.27572019151983,2,5,1,27.1
27.44,54.73,62.9,25.11939893039325,1,3,0,6.7
40.0,68.47,49.84,35.242880565819455,3,3,0,11.1
27.4,63.02,52.99,31.35050611352882,0,8,0,5.0
29.85,70.42,53.9,27.287240242530842,2,4,0,8.7
32.11,68.19,40.77,13.12678821161768,1,6,1,25.9
29.23,57.13,41.46,43.2509392594121,3,3,0,5.0
28.58,71.66,46.04,24.120011673971625,3,5,0,14.1
26.09,69.65,41.82,41.5956251007791,2,1,0,6.0
24.97,59.24,47.46,37.949096671199534,4,6,0,5.0
25.55,63.42,27.81,44.4528178572924,2,6,1,11.4
32.74,64.14,68.56,43.50277589142178,3,4,0,5.0
31.65,48.98,39.39,44.68157739694539,3,10,1,11.1
22.28,40.57,65.74,24.569629609834447,0,3,0,5.0
32.32,58.02,68.23,19.038437391891904,4,8,1,7.8
26.11,44.04,20.63,21.950711120783524,0,3,1,29.8
36.87,61.5,54.95,19.971832726773396,2,9,0,18.9
20.26,41.18,47.6,40.14326269316071,3,4,0,5.0
40.0,70.96,32.81,3.503112056384272,3,10,1,39.2
21.15,56.41,40.51,14.957325921426923,3,4,0,20.5
29.31,62.5,47.47,41.3299625517024,3,2,0,6.4
28.75,56.3,63.61,11.40391664367018,4,4,0,15.3
31.64,57.41,46.37,49.48253191768456,3,5,0,5.0
36.61,58.99,45.91,30.61408625556331,3,6,1,13.5
28.75,65.49,48.78,46.72201234342923,0,4,0,5.0
29.54,54.73,69.41,22.136295069409446,2,7,0,6.9
31.64,58.28,29.1,47.44653357227555,4,3,1,14.4
34.02,52.63,26.43,36.199678939725146,1,5,1,20.4
33.71,58.93,43.88,12.488340568712614,2,0,1,22.0
29.83,58.93,43.95,48.09615320454563,3,9,0,5.0
39.6,57.34,40.13,43.98046813194104,4,6,1,8.8
30.71,67.85,56.82,32.370091354472436,0,5,0,5.2
29.9,51.27,49.74,8.17801276578925,1,5,0,26.1
29.23,57.13,41.46,43.2509392594121,3,3,0,5.5
34.43,59.77,62.97,31.31238723388442,3,1,0,5.0
35.77,58.62,25.35,47.89532555914661,4,5,1,13.5
30.47,57.1,59.57,40.542835714488646,4,10,0,5.0
31.93,46.41,31.12,10.755865201348808,4,5,1,32.8
33.57,60.78,51.96,35.68023301176852,3,6,0,6.6
31.91,46.26,41.51,32.796387726163665,0,7,0,17.1
31.81,62.69,55.11,32.9962951444152,4,0,0,8.3
37.97,62.65,56.53,45.58544047319583,3,2,0,5.0
28.32,57.04,36.82,8.930998895557362,0,7,1,29.3
33.32,78.29,41.09,1.7456304204787054,4,8,1,35.0
40.0,75.03,42.43,31.736432710141223,0,7,0,15.9
20.03,52.64,70.0,35.41292026327561,4,8,0,5.0
26.88,58.54,70.0,24.959351900063737,3,7,0,5.0
36.52,53.74,43.45,47.33502564261322,1,2,0,5.0
24.76,56.88,20.0,42.48412496156348,1,5,0,13.5
35.21,73.16,48.0,30.71668272867527,0,8,0,8.8
22.88,50.27,31.25,9.14677998735619,4,3,1,30.6
25.27,52.33,20.33,31.22251481987349,2,9,0,21.5
30.14,74.53,67.61,35.64398436428239,0,6,0,5.0
33.02,48.8,52.02,41.49553785311925,1,2,1,5.0
28.32,59.01,41.83,48.456460796391156,2,2,0,6.3
34.91,57.74,67.05,36.87219949662853,1,3,0,5.0
30.16,60.67,37.22,13.510242518778343,2,0,1,25.2
30.17,53.45,51.01,11.826381798935637,0,3,1,21.7
30.31,61.48,37.51,26.646771726975548,0,3,1,21.1
25.28,48.9,53.75,42.098604238562615,2,4,0,5.0
37.71,79.73,38.27,4.167407106936894,0,6,1,31.3
31.17,67.47,56.61,15.063801625079265,2,9,0,11.8
32.0,44.93,39.49,29.907416764096016,1,2,1,15.6
30.78,58.79,47.7,22.26420270062625,1,8,1,16.5
24.53,55.6,43.85,45.55777740148391,0,0,0,5.0
37.21,61.02,41.51,4.070704415145227,0,4,1,29.7
22.68,61.46,42.62,18.406295840985493,2,7,0,21.3
21.92,53.0,33.57,32.79842732428633,0,0,0,15.0
32.25,63.55,56.37,25.88852402077561,2,5,0,16.2
26.81,68.51,57.27,33.076983960730246,4,4,0,5.0
29.73,55.37,43.18,27.280094565852504,3,3,0,13.3
20.03,52.64,70.0,35.41292026327561,4,8,0,5.0
30.17,53.45,51.01,11.826381798935637,0,3,1,19.7
26.49,56.63,42.97,41.08295953874651,0,5,0,12.3
24.12,53.65,35.22,44.508144562101016,4,2,0,10.4
33.19,72.33,65.98,30.866297327577307,3,3,0,6.0
23.74,62.35,31.53,27.45217797250003,4,2,1,21.6
38.4,67.88,62.06,17.357055477848547,1,3,0,11.3
28.21,59.97,54.67,24.412208549795167,3,9,0,12.6
28.1,47.62,47.44,16.591327763711906,4,7,1,17.1
34.75,70.91,33.64,9.410055843203285,1,3,1,31.9
26.95,62.85,63.53,11.307573807071696,1,5,0,13.8
31.88,54.26,51.83,41.92412634351192,4,4,0,5.0
28.25,54.74,70.0,3.7629981736205242,3,3,0,16.8
27.39,50.86,56.33,9.488888223289399,1,2,0,18.2
33.16,51.42,47.39,37.561009434598205,2,1,0,8.4
28.0,41.61,30.62,39.82960537987365,3,5,1,11.8
26.89,51.17,70.0,46.57927514803878,1,8,0,5.0
29.37,46.93,59.62,16.163399006004703,4,1,1,17.2
35.25,55.27,39.3,37.86512098767575,2,1,1,14.8
30.5,52.65,63.66,23.928259058621887,3,3,0,6.3
21.84,58.1,32.37,40.457312729650546,2,10,0,9.7
32.76,51.56,45.73,26.28246535196156,4,2,1,15.8
25.71,43.52,40.7,16.380679799137027,2,5,0,21.8
25.62,51.09,40.66,34.32578276636241,1,7,0,9.7
37.77,55.25,50.88,24.976416951047675,4,4,1,13.5
23.99,48.68,20.0,39.04973527565044,1,5,0,17.5
29.77,63.41,50.3,40.14783988361248,0,4,0,5.2
33.49,63.84,32.92,2.0632724276499204,1,2,1,40.8
38.34,57.32,38.09,16.583193111522064,1,8,1,28.2
33.03,57.67,46.12,21.46764388058791,1,9,0,22.9
28.27,69.62,65.41,19.85134496827552,4,1,0,7.7
28.0,54.0,43.0,35.72949594499648,1,6,0,11.8
27.56,69.63,55.59,20.151984661958217,0,0,0,14.0
31.97,56.88,44.52,30.489238948323305,4,2,1,14.9
23.37,45.91,67.84,32.428436285627946,4,8,0,5.0
37.57,64.34,38.29,13.887536397878508,0,3,1,30.6
30.28,50.57,45.48,16.104985119956687,1,9,0,17.3
23.54,56.34,60.76,13.163368295995937,3,4,0,11.7
33.79,70.29,36.68,24.49233907137388,0,10,1,21.5
32.98,62.02,33.12,14.09471531359493,3,10,1,32.1
25.7,67.81,42.7,2.1043746603271405,2,9,0,30.4
27.91,58.99,64.03,26.985938822682858,0,5,0,5.0
29.8,59.73,35.64,34.120144612921074,3,0,0,15.3
29.62,60.67,58.93,28.228899072831688,1,1,0,10.8
22.07,51.67,51.97,47.79159416166037,1,9,0,5.0
28.44,56.96,55.12,38.89890176698895,0,6,0,5.0
29.07,44.79,38.69,20.411393527126787,0,6,1,23.5
24.38,63.53,45.36,41.98633952923288,4,4,0,5.0
27.4,56.16,45.88,7.58403605487899,4,0,1,24.0
30.28,66.13,41.03,48.50878967179892,3,5,0,5.0
21.75,59.66,26.34,41.57242824572825,1,10,0,10.7
23.89,51.43,32.44,5.218935102573219,1,2,1,29.9
30.39,67.13,49.2,49.139593559782355,4,0,0,5.0
28.54,55.75,38.08,46.77340593909649,1,8,1,5.1
34.33,62.47,37.74,40.97655095015774,3,9,1,11.3
37.5,65.89,45.19,48.020448572763684,2,6,1,6.9
31.34,52.86,27.31,44.62356434737892,3,7,1,14.3
27.18,54.31,58.77,13.027553750250343,0,5,1,17.6
29.22,57.29,29.75,28.138051673138165,1,10,1,22.7
27.54,61.58,33.57,19.648739576652552,4,10,1,26.2
37.48,61.89,62.39,28.785914868016548,4,1,1,5.0
24.84,58.91,43.15,34.06451120960221,3,1,0,6.2
22.34,53.62,38.61,12.996536455081332,3,10,1,19.5
27.4,54.83,69.04,39.841807611173444,2,1,0,5.0
32.29,56.56,63.14,15.672409599892696,2,0,0,12.8
24.78,56.42,25.51,2.2181914828206084,1,8,1,38.6
37.68,64.53,62.03,32.29237382768349,1,4,0,6.2
30.0,60.0,47.0,3.599651117419639,4,0,1,28.6
36.4,55.11,26.14,42.40639576965768,3,10,1,16.9
28.46,54.38,40.69,35.00746302334058,2,1,0,11.1
28.18,56.88,55.26,36.4260919921925,3,1,0,5.0
32.24,49.43,40.27,12.932512574116089,0,1,1,25.7
33.3,61.33,50.98,47.83722758585127,0,7,0,5.0
32.0,44.93,39.49,29.907416764096016,1,2,1,16.9
26.49,68.8,49.84,31.386469872304225,1,4,0,11.3
25.41,56.57,63.78,13.865853644054916,4,6,1,9.2
28.7,53.21,40.31,10.145120970099587,4,2,1,29.4
33.8,58.8,28.44,9.853288578343754,4,2,1,34.6
26.94,56.72,39.94,20.231325440616644,4,9,1,21.6
25.0,43.01,70.0,41.204017752293545,4,3,0,5.0
22.61,51.15,40.5,25.57488348364031,4,0,0,16.4
30.87,65.28,46.28,8.78169563955738,1,5,1,26.1
26.45,51.02,41.39,19.87711634279567,2,0,0,22.1
30.12,64.91,33.26,18.92361515652274,4,4,1,23.5
27.09,52.83,49.64,37.25761592491574,1,0,0,7.5
33.0,54.95,39.38,36.17180570997543,2,4,1,14.6
25.14,46.88,28.19,6.2778071725847875,2,1,1,34.2
28.76,47.19,42.6,1.9876065392592346,2,1,1,31.6
35.43,75.29,47.09,4.521340457999945,1,0,1,30.3
31.63,63.91,42.19,26.230405420686033,3,10,0,17.9
37.92,63.52,57.65,19.56256394765215,4,0,1,14.7
30.87,65.28,46.28,8.78169563955738,1,5,1,24.0
31.65,58.98,60.38,22.894416007410413,2,10,0,12.2
28.97,59.7,23.81,43.26046235801472,2,5,1,18.1
38.58,73.91,42.11,30.99569018099225,1,10,0,21.4
22.95,47.88,36.75,3.715468872614042,0,7,1,33.6
22.06,52.67,39.56,38.98656022421506,1,3,0,8.1
28.43,66.03,44.05,44.476814258128734,0,4,0,5.3
27.38,62.54,70.0,0.6650753949182742,0,2,0,15.8
28.24,40.02,40.05,48.80990197630204,3,7,0,5.0
24.55,59.45,47.37,43.10009946415664,3,0,0,5.0
30.25,72.59,57.4,10.98017827475221,0,7,1,16.3
25.55,62.37,41.64,35.21958253487744,2,1,0,12.4
24.24,45.83,31.62,12.269038086107559,1,6,1,26.3
27.83,51.16,44.2,6.741887658944207,1,9,0,27.9
34.24,66.72,42.15,4.765938691389887,1,4,1,31.6
32.1,50.44,47.36,47.60676884405031,3,7,0,5.0
32.26,63.7,54.1,14.94016683937916,2,5,1,19.8
30.08,54.89,41.18,0.7913358280962957,0,4,1,34.4
22.92,58.85,40.66,39.15183045701211,4,10,0,5.0
33.91,65.24,30.22,41.71131806435216,1,1,1,17.2
27.39,50.86,56.33,9.488888223289399,1,2,0,15.9
36.39,62.67,51.48,21.70011680038908,3,9,1,17.7
28.04,63.25,67.45,0.596132784169312,0,3,0,19.3
28.21,59.37,42.81,39.36460925681816,3,6,0,10.3
30.53,52.17,41.92,17.96753196626653,0,5,1,26.4
26.13,55.16,61.36,11.821405246736678,0,7,0,15.6
33.98,50.38,53.63,17.818688352250806,4,3,1,20.0
36.31,72.79,46.6,10.754184204260358,4,0,1,23.3
36.1,60.94,59.0,2.020365473386332,1,2,1,24.2
39.87,60.83,56.01,40.98812509099267,1,0,0,11.0
32.01,56.9,39.16,3.5492448490573256,3,8,1,34.7
26.17,55.85,65.64,28.531937492809035,2,3,0,5.0
28.93,59.75,28.26,22.727366898499906,4,6,1,28.9
30.47,67.64,60.18,23.301405592427756,3,1,1,12.2
24.62,48.57,46.69,38.9191719528599,3,9,0,10.5
27.94,56.62,29.68,20.329597287222356,2,10,1,26.9
